ID;Timestamp;Date;Hour;hw_True;meanTout;ThermostatTemp;TSen_day;TSen_night;TSatisf_day;TSatisf_night;TPref_day;TPref_night;Gender;Age;NatVent_night;UsesCoolingAlternatives;Hour_7_14h_True;Hour_14_21h_True;Hour_21_7h_True;ShadingDevices_No;ShadingDevices_WhenDirectSun;ShadingDevices_AllAfternoon;ShadingDevices_AllMorning;ShadingDevices_AllDay;NatVent_day_ToutCool;NatVent_day_Anytime;NatVent_day_No;hasAC_No;hasAC_DormOrLiving;hasAC_DormAndLiving;hasAC_AllRooms;HouseholdSize;is_31001;is_31002;is_31003;is_31004;is_31005;is_31006;is_31007;is_31008;is_31009;is_31010;is_31011;is_31012;is_31013;is_31014;is_31015;is_31016;isNot_pamplona;before_1980;between_1980_2006;after_2007;dwelling_OldTown;dwelling_Block;dwelling_Tower;dwelling_Detached;dwelling_Other;Rehab_No;Rehab_Yes;Income_below1500;Income_between_1500_3500;Income_above_3500;Occ_NormallyAtHome;Occ_NotAlwaysAtHome;SrfcArea_below90;Storey_UpperFloor;Storey_NotApartment;numOrient_1;numOrient_above2;LivRoom_SrfcAreaWindow_below2;LivRoom_SrfcAreaWindow_above2;Bedroom_SrfcAreaWindow_below2;Bedroom_SrfcAreaWindow_above2;AC_Installed_Yes;WouldYouInstallAC_Yes;hasCoolRoom;hasCoolingAlternatives;HeatSymptoms;SleepingProblems
21;19/06/2022 14:07;20220619;14;False;27.5;29;3;-1;-2;3;-1;0;False;44;True;True;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;4;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;True;False;False;True;False;True
123;22/07/2021 18:53;20210722;18;False;27.5;25.73;1;1;1;1;-1;-1;False;65;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;True;False;False;False;False;True;False;True;False;True;False;True;False;False;False;True
163;19/06/2022 18:45;20220619;18;False;27.5;29;3;3;-3;-3;-1;-1;True;47;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;5;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;False;True;False;True;False;False;True;False
20;22/07/2021 12:13;20210722;12;False;27.5;27;2;0;-1;1;-1;-1;False;49;True;True;True;False;False;False;True;False;False;False;True;False;False;False;True;False;False;5;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;False;True;False;False;True;False;True;False;True;True;False;True;True;False;False
36;22/07/2021 13:14;20210722;13;False;27.5;25.73;2;1;1;1;-1;-1;True;35;True;True;True;False;False;False;False;False;False;True;False;True;False;True;False;False;False;1;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;True;True;True;False;False;False;True;False;True;True;False;False;True;True;True;False;False
335;26/07/2022 8:23;20220726;8;False;19.6;24;0;0;3;3;0;0;False;56;True;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;False;False;False;False;False;False
443;15/07/2022 14:15;20220715;14;True;27.7;27;3;1;-2;-2;-1;-1;True;23;True;True;False;True;False;False;False;False;False;True;False;False;True;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;True;False;True;False;False;False;True;False;True;False;True;False;True;False;True;False;True
19;15/08/2021 11:02;20210815;11;False;20.6;24.5;0;1;0;-1;0;-1;True;59;True;True;True;False;False;False;False;False;False;True;False;True;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;True;False;False
224;12/08/2022 13:58;20220812;13;True;29.2;29;3;3;-3;-3;-1;-1;True;54;True;True;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;True;False;True;True;True
172;15/07/2022 12:53;20220715;12;True;27.7;28;2;0;-1;0;-1;0;True;41;True;False;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;False;True
111;14/08/2021 23:11;20210814;23;True;26.2;26;2;2;-1;-1;-1;-1;True;51;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;True;False;True;False;False;False;False;False;True;False;True;False;True;False;True;False;False;False;True
164;23/07/2021 6:11;20210723;6;False;23.1;24;3;2;-2;-2;-1;-1;False;41;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;True;False;False;True;False;False;True;True;False;False;True;False;False;False;True
242;15/07/2022 12:54;20220715;12;True;27.7;23;0;0;-2;-2;-1;-1;True;53;True;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;1;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;False;True;False;True;True;False;False;True;False;False;True;False
28;18/07/2022 14:28;20220718;14;True;30.9;27.1;1;0;0;1;-1;0;True;29;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;True;False;True;False;True;True;True;False;False
206;19/06/2022 18:36;20220619;18;False;27.5;27.05;3;2;-3;-2;-1;-1;False;51;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;True;False;True;False
